,user_count,type,serialize_duration_mean,serialize_duration_sum,serialize_duration_var,serialize_duration_std,produce_duration_mean,produce_duration_sum,produce_duration_var,produce_duration_std,consume_duration_mean,consume_duration_sum,consume_duration_var,consume_duration_std,consumed_size_kb_mean,consumed_size_kb_sum,consumed_size_kb_var,consumed_size_kb_std,deserialize_duration_mean,deserialize_duration_sum,deserialize_duration_var,deserialize_duration_std,total_serialization_duration_mean,total_serialization_duration_sum,total_serialization_duration_var,total_serialization_duration_std,throughput_mbps_mean,throughput_mbps_sum,throughput_mbps_var,throughput_mbps_std,instance_count
0,1,json,0.04489421844482422,4.489421844482422,0.08183674380133102,0.28607122155388337,16.39080286026001,1639.080286026001,7374.318864373149,85.87385437007674,18.326377868652344,1832.6377868652344,7371.769743537533,85.8590108464891,0.155,15.5,8.492517952967083e-07,0.0009215485854238551,0.07877826690673828,7.877826690673828,0.03310395372450744,0.18194491947979047,0.1236724853515625,12.36724853515625,0.10779587182237216,0.32832281648154177,0.01857432365232468,1.857432365232468,2.406708254630203e-05,0.004905821291720891,100
1,1,proto,3.1473636627197266,314.73636627197266,925.5704324039358,30.423189057098135,15.307698249816895,1530.7698249816895,4630.456974065544,68.047461187509,16.370408535003662,1637.0408535003662,4548.176872719238,67.44017254366449,0.08482421875,8.482421875,1.1598220979324513e-07,0.00034056160939431373,0.09008646011352539,9.008646011352539,0.03915191112727454,0.19786841872131727,3.237450122833252,323.7450122833252,925.0601005050506,30.414800681659095,0.010601530633842506,1.0601530633842506,1.0630831178850639e-05,0.0032604955419154678,100
2,50,json,0.1524496078491211,15.24496078491211,0.15084390520544297,0.3883862834929202,9.597856998443604,959.7856998443604,125.52276655363318,11.203694326142301,11.585640907287598,1158.5640907287598,120.80825231890626,10.991280740610089,8.02642578125,802.642578125,0.003221508372913713,0.05675833307025245,0.4194355010986328,41.94355010986328,0.3453943761335474,0.5877026255969489,0.5718851089477539,57.18851089477539,0.48986174499187846,0.699901239455881,0.8375837588701076,83.75837588701076,0.052505214977438514,0.2291401644789462,100
3,50,proto,0.11295080184936523,11.295080184936523,0.09291658821926245,0.3048222239589208,9.279031753540039,927.9031753540039,254.51862891544,15.953639989527154,10.96738338470459,1096.738338470459,258.0820761644727,16.064933120448174,3.9465234375,394.65234375,0.00044194847646383904,0.02102257064356876,0.13897418975830078,13.897418975830078,0.05438920769654833,0.23321493883657696,0.251924991607666,25.1924991607666,0.15528375654687832,0.39406060009455185,0.4739744509826768,47.39744509826768,0.015350942123638639,0.12389891897687662,100
4,100,json,0.5771422386169434,57.714223861694336,4.483178238520123,2.1173517040208796,10.492806434631348,1049.2806434631348,148.58366662129086,12.189490006611878,13.072903156280518,1307.2903156280518,156.58521092295285,12.513401253174647,16.254619140625,1625.4619140625,0.021737144065625717,0.14743521989547043,0.9117245674133301,91.17245674133301,0.6707921035242197,0.8190189885004008,1.4888668060302734,148.88668060302734,5.219281633661452,2.2845747161477234,1.5425253895369877,154.25253895369877,0.2336701051011583,0.4833943577465073,100
5,100,proto,0.45747995376586914,45.747995376586914,0.5598299744943606,0.748217865661039,9.82778549194336,982.7785491943359,152.54758108037066,12.351015386613794,11.599438190460205,1159.9438190460205,153.11514687858573,12.37397053813309,7.909013671875,790.9013671875,1.1772675947708939e-05,0.003431133332837554,0.21788358688354492,21.788358688354492,0.1763085114387446,0.41989107092047645,0.6753635406494141,67.5363540649414,0.7688368777687148,0.8768334378710216,0.8668219347323278,86.68219347323279,0.0812862172741559,0.28510737849827017,100
6,500,json,1.6701602935791016,167.01602935791016,4.065746430257209,2.0163696164783897,34.681479930877686,3468.1479930877686,13292.742314850693,115.29415559711036,43.75193119049072,4375.193119049072,14766.910829979057,121.51917885658649,81.992734375,8199.2734375,3.8442130040609895e-05,0.006200171775088969,3.2390785217285156,323.90785217285156,0.8010170683124359,0.8949955688786598,4.909238815307617,490.9238815307617,4.43022439711315,2.1048098244528295,3.711842611709875,371.1842611709875,1.8799627618635033,1.371117340661806,100
7,500,proto,1.2636685371398926,126.36685371398926,5.570093292175615,2.3601045087401564,20.096607208251953,2009.6607208251953,9539.591489975428,97.67083233993364,23.072614669799805,2307.2614669799805,9516.54125791219,97.55276140587814,39.140107421875,3914.0107421875,0.38533523742598785,0.6207537655350854,0.5556130409240723,55.56130409240723,0.1791465775290312,0.42325710570412306,1.8192815780639648,181.92815780639648,5.436556775633777,2.3316425059673658,3.060604074121951,306.0604074121951,0.537861120776156,0.7333901559034972,100
8,1000,json,3.4301114082336426,343.01114082336426,35.19345249190617,5.932406972882607,41.168506145477295,4116.8506145477295,4713.841709008486,68.65742282527422,65.8358383178711,6583.583831787109,10109.03695775118,100.5437067038568,163.6592578125,16365.92578125,0.946697113345393,0.9729836141196793,6.034090518951416,603.4090518951416,6.558456475357097,2.5609483546836898,9.464201927185059,946.4201927185059,53.23690539476828,7.29636247693111,4.20371176677804,420.37117667780404,2.793354645451339,1.6713331940254579,100
9,1000,proto,3.712441921234131,371.2441921234131,17.89957383999705,4.230788796429934,20.862557888031006,2086.2557888031006,851.2315092168599,29.17587203867024,29.516000747680664,2951.6000747680664,1112.3167889806123,33.35141359793633,78.652373046875,7865.2373046875,0.8953274901226096,0.9462174644988379,0.9034991264343262,90.34991264343262,0.3438982381199784,0.5864283742452938,4.615941047668457,461.5941047668457,17.824943083379566,4.221959625976966,3.4412239300247944,344.12239300247944,1.1597787607354952,1.0769302487791377,100
