,user_count,type,consumed_size_mb_mean,consumed_size_mb_sum,consumed_size_mb_var,consumed_size_mb_std,serialize_duration_mean,serialize_duration_sum,serialize_duration_var,serialize_duration_std,produce_duration_mean,produce_duration_sum,produce_duration_var,produce_duration_std,consume_duration_mean,consume_duration_sum,consume_duration_var,consume_duration_std,deserialize_duration_mean,deserialize_duration_sum,deserialize_duration_var,deserialize_duration_std,throughput_mbps_mean,throughput_mbps_sum,throughput_mbps_var,throughput_mbps_std,total_serialization_duration_mean,total_serialization_duration_sum,total_serialization_duration_var,total_serialization_duration_std,instance_count
0,1,json,0.0001513671875,0.01513671875,8.099096253363689e-13,8.999497904529835e-07,0.04489421844482422,4.489421844482422,0.08183674380133102,0.28607122155388337,0.01639080286026001,1.639080286026001,0.007374318864373146,0.08587385437007673,0.018326377868652342,1.8326377868652344,0.007371769743537531,0.08585901084648909,0.07877826690673828,7.877826690673828,0.03310395372450744,0.18194491947979047,0.01857432365232468,1.857432365232468,2.406708254630203e-05,0.004905821291720891,0.1236724853515625,12.36724853515625,0.10779587182237216,0.32832281648154177,100
1,1,proto,8.283615112304687e-05,0.008283615112304688,1.1060925463985932e-13,3.325796966741345e-07,3.1473636627197266,314.73636627197266,925.5704324039358,30.423189057098135,0.015307698249816894,1.5307698249816895,0.004630456974065547,0.06804746118750903,0.016370408535003662,1.6370408535003662,0.004548176872719238,0.0674401725436645,0.09008646011352539,9.008646011352539,0.03915191112727454,0.19786841872131727,0.010601530633842506,1.0601530633842506,1.0630831178850639e-05,0.0032604955419154678,3.237450122833252,323.7450122833252,925.0601005050506,30.414800681659095,100
2,50,json,0.007838306427001953,0.7838306427001953,3.072269795335496e-09,5.542805963891841e-05,0.1524496078491211,15.24496078491211,0.15084390520544297,0.3883862834929202,0.009597856998443604,0.9597856998443604,0.00012552276655363319,0.0112036943261423,0.011585640907287597,1.1585640907287598,0.00012080825231890627,0.01099128074061009,0.4194355010986328,41.94355010986328,0.3453943761335474,0.5877026255969489,0.8375837588701076,83.75837588701076,0.052505214977438514,0.2291401644789462,0.5718851089477539,57.18851089477539,0.48986174499187846,0.699901239455881,100
3,50,proto,0.0038540267944335935,0.3854026794433594,4.2147491117843536e-10,2.052985414411012e-05,0.11295080184936523,11.295080184936523,0.09291658821926245,0.3048222239589208,0.00927903175354004,0.9279031753540039,0.0002545186289154401,0.015953639989527157,0.01096738338470459,1.096738338470459,0.00025808207616447287,0.01606493312044818,0.13897418975830078,13.897418975830078,0.05438920769654833,0.23321493883657696,0.4739744509826768,47.39744509826768,0.015350942123638639,0.12389891897687662,0.251924991607666,25.1924991607666,0.15528375654687832,0.39406060009455185,100
4,100,json,0.0158736515045166,1.5873651504516602,2.073015600740978e-08,0.00014397970692917034,0.5771422386169434,57.714223861694336,4.483178238520123,2.1173517040208796,0.010492806434631347,1.0492806434631348,0.00014858366662129087,0.012189490006611878,0.013072903156280518,1.3072903156280518,0.00015658521092295284,0.012513401253174648,0.9117245674133301,91.17245674133301,0.6707921035242197,0.8190189885004008,1.5425253895369877,154.25253895369877,0.2336701051011583,0.4833943577465073,1.4888668060302734,148.88668060302734,5.219281633661452,2.2845747161477234,100
5,100,proto,0.00772364616394043,0.772364616394043,1.1227298686703623e-11,3.3507161453491736e-06,0.45747995376586914,45.747995376586914,0.5598299744943606,0.748217865661039,0.00982778549194336,0.9827785491943359,0.00015254758108037064,0.012351015386613793,0.011599438190460205,1.1599438190460205,0.0001531151468785857,0.01237397053813309,0.21788358688354492,21.788358688354492,0.1763085114387446,0.41989107092047645,0.8668219347323278,86.68219347323279,0.0812862172741559,0.28510737849827017,0.6753635406494141,67.5363540649414,0.7688368777687148,0.8768334378710216,100
6,500,json,0.08007102966308594,8.007102966308594,3.666127208767881e-11,6.054855249110321e-06,1.6701602935791016,167.01602935791016,4.065746430257209,2.0163696164783897,0.03468147993087769,3.4681479930877686,0.013292742314850696,0.11529415559711037,0.04375193119049072,4.375193119049072,0.014766910829979052,0.12151917885658647,3.2390785217285156,323.90785217285156,0.8010170683124359,0.8949955688786598,3.711842611709875,371.1842611709875,1.8799627618635033,1.371117340661806,4.909238815307617,490.9238815307617,4.43022439711315,2.1048098244528295,100
7,500,proto,0.038222761154174806,3.8222761154174805,3.67484319139469e-07,0.0006062048491553569,1.2636685371398926,126.36685371398926,5.570093292175615,2.3601045087401564,0.020096607208251953,2.0096607208251953,0.009539591489975432,0.09767083233993366,0.023072614669799804,2.3072614669799805,0.00951654125791219,0.09755276140587815,0.5556130409240723,55.56130409240723,0.1791465775290312,0.42325710570412306,3.060604074121951,306.0604074121951,0.537861120776156,0.7333901559034972,1.8192815780639648,181.92815780639648,5.436556775633777,2.3316425059673658,100
8,1000,json,0.15982349395751952,15.982349395751953,9.028407224134378e-07,0.0009501793106637493,3.4301114082336426,343.01114082336426,35.19345249190617,5.932406972882607,0.0411685061454773,4.1168506145477295,0.004713841709008486,0.06865742282527422,0.0658358383178711,6.583583831787109,0.010109036957751182,0.10054370670385682,6.034090518951416,603.4090518951416,6.558456475357097,2.5609483546836898,4.20371176677804,420.37117667780404,2.793354645451339,1.6713331940254579,9.464201927185059,946.4201927185059,53.23690539476828,7.29636247693111,100
9,1000,proto,0.07680895805358887,7.680895805358887,8.538508321024033e-07,0.0009240404926746464,3.712441921234131,371.2441921234131,17.89957383999705,4.230788796429934,0.020862557888031007,2.0862557888031006,0.0008512315092168603,0.029175872038670246,0.029516000747680664,2.9516000747680664,0.0011123167889806119,0.03335141359793632,0.9034991264343262,90.34991264343262,0.3438982381199784,0.5864283742452938,3.4412239300247944,344.12239300247944,1.1597787607354952,1.0769302487791377,4.615941047668457,461.5941047668457,17.824943083379566,4.221959625976966,100
